414906,17
22,2
22,9
22,1
672,2
672,9
1214484,7
646385,11
646385,13
646385,17
1054561,11
1054561,7
1073125,14
1073125,4
1073125,7
58,2
58,9
58,1
872585,7
872585,10
1052280,4
1052280,13
1052280,15
10193,3
10193,8
10193,4
799583,1
799583,4
799583,18
1365578,6
76600,15
76600,2
76600,1
1165441,4
1165441,1
1165441,17
155,7
155,1
155,5
155,17
346698,4
346698,2
10202,9
10202,4
10202,8
10202,14
1026227,7
1026227,4
1026227,18
1231818,14
1231818,7
4232,5
4232,11
4232,13
24428,15
24428,1
24428,2
587727,14
704239,1
704239,4
609681,15
609681,2
609681,1
390159,7
46848,7
46848,14
940721,15
940721,11
940721,1
293660,1
293660,2
293660,4
1236419,3
1236419,12
1236419,6
1026999,9
1026999,2
1026999,8
748230,11
748230,13
597,7
597,14
4248,4
1262299,6
1262299,10
1241742,7
106646,5
106646,7
106646,4
1216191,11
1216191,13
1096197,17
1096197,11
1096197,1
1010161,1
1010161,5
1010161,17
138843,11
138843,17
116745,2
116745,4
116745,7
116745,9
675353,1
675353,2
675353,8
675353,4
13194,1
13194,3
13194,9
13194,15
1139817,1
1139817,4
1139817,5
863873,17
863873,13
863873,7
863873,15
1219522,7
1219522,11
1225377,11
1225377,17
1225377,4
1219685,7
1219685,16
11635,4
122917,1
122917,2
122917,9
1262983,11
1262983,17
1369595,7
1369595,17
1088563,2
1088563,8
674,2
674,9
109445,3
109445,8
109445,2
109445,9
1291559,14
1291559,7
1035048,1
1035048,15
1035048,17
216015,7
216015,14
216015,17
1094138,4
1094138,15
1094138,1
1184773,17
1029330,14
1029330,7
1311550,1
1311550,10
447365,15
447365,2
447365,1
11690,1
11690,17
1331344,11
8681,1
8681,17
11,2
11,1
11,15
976573,3
976573,4
976573,8
976573,9
976573,14
1030076,8
1030076,4
496243,4
496243,17
496243,7
285,2
285,9
285,1
601796,15
601796,1
601796,9
601796,2
1059064,5
1059064,4
1059064,1
1024721,11
1024721,13
1024721,15
1024721,17
10198,3
10198,14
10198,9
10198,8
10192,4
10192,2
10192,9
10192,3
10192,8
1089123,11
474350,11
474350,7
474350,9
1865,2
1865,1
1865,9
1147416,3
1147416,2
1147416,1
1147416,9
746036,1
746036,4
746036,14
1281826,1
1281826,7
1281826,14
1190586,7
1190586,14
1062215,11
1062215,15
1062215,17
1046032,3
1046032,4
1046032,8
1046032,1
1049574,1
959092,1
959092,5
959092,7
675,2
675,9
1025463,15
1025463,1
1025463,2
1218193,4
1218193,7
361743,1
361743,7
767,2
767,9
370663,7
370663,14
568124,3
568124,4
568124,8
568124,9
829560,14
829560,7
129,3
129,8
129,9
269149,3
269149,2
269149,8
269149,4
359410,1
359410,17
1239251,3
1239251,4
1239251,15
11631,4
11631,14
177572,2
177572,8
177572,3
177572,1
177572,4
1156212,7
1156212,5
1156212,17
1156212,11
809,3
809,8
809,4
809,9
809,2
809,14
117263,1
117263,17
1190868,11
1190868,15
1190868,17
969492,1
969492,18
969492,17
1371350,14
1371350,4
1371350,7
298618,2
298618,1
298618,15
12444,2
12444,9
615656,1
615656,15
615656,11
8966,9
8966,7
8966,14
585,3
585,4
585,8
762509,2
762509,8
762509,7
1361292,17
8587,8
8587,3
8587,7
1930,1
1930,2
1930,15
10625,7
10625,4
335984,15
335984,7
539972,1
539972,2
539972,17
938614,11
575264,1
575264,2
260346,17
260346,1
1317218,11
1028703,17
1028703,1
1028703,11
1014505,1
1014505,2
1014505,3
1014505,9
680,17
680,5
280180,1
280180,4
280180,5
955555,1
955555,5
955555,4
955555,17
9806,1
9806,2
9806,3
9806,8
1155089,3
1155089,15
1155089,1
1076364,3
1076364,2
1076364,8
1076364,4
616037,9
616037,1
616037,4
109418,4
1128941,11
1167366,14
1167366,7
1167366,15
19995,1
19995,2
19995,9
19995,15
12153,4
12153,5
682075,8
682075,15
1255616,11
10184,4
10184,14
10184,7
348,11
348,15
1096342,14
1096342,4
1096342,7
11675,11
11675,17
1039690,17
1039690,1
1039690,5
1039690,7
18785,4
862,3
862,2
862,8
862,4
10191,9
10191,2
10191,3
10191,8
276907,5
276907,17
387824,7
387824,14
4258,4
108450,17
108450,7
108450,14
508883,3
508883,2
508883,9
508883,8
508883,7
273477,4
273477,11
619264,7
619264,15
619264,17
566525,1
566525,2
566525,9
121,2
121,9
121,1
38757,3
38757,8
10402,4
585083,3
585083,4
585083,8
585083,2
585083,9
105,2
105,4
105,15
1140168,11
12445,9
12445,2
13,4
13,7
13,14
36239,11
36239,7
557,1
557,15
299054,1
299054,2
299054,17
12155,8
12155,9
12155,2
49051,2
49051,9
49051,1
453395,9
453395,1
453395,2
719221,11
1173558,7
1173558,13
1173558,14
12,3
12,8
240,7
240,5
76341,1
76341,2
76341,15
438695,3
438695,8
438695,12
438695,4
27205,1
27205,15
27205,2
1241748,7
1020006,7
1020006,14
420818,2
420818,7
420818,8
420818,3
10555,3
10555,1
10555,4
10555,8
866398,5
866398,1
866398,17
937278,4
937278,7
99861,1
99861,2
99861,15
22683,7
507086,2
507086,1
507086,15
156022,17
156022,1
156022,5
1159799,8
1159799,2
1159799,7
4256,4
660982,4
1045944,3
1045944,8
1045944,2
807339,11
807339,17
396535,11
396535,17
396535,1
11036,14
11036,7
11674,8
11674,4
634492,1
634492,9
10201,4
10201,14
20352,3
20352,8
20352,4
10681,3
10681,8
10681,15
1127166,14
1127166,7
943344,9
943344,2
1036573,6
473924,4
473924,14
72190,1
72190,11
72190,15
72190,17
11774,2
11774,4
11774,8
10431,1
10431,17
791042,1
791042,15
791042,17
2062,3
2062,4
2062,8
2062,9
1139566,14
1139566,7
1139566,4
296096,7
